Experiment,Accuracy,Kappa,Dataset,DR Method,N Components,Model,Class,IoU Score
IndianPines_DiffMaps_30_mou,95.80446872865646,0.952322447889139,IndianPines,DiffMaps,30.0,mou,Alfalfa,
IndianPines_DiffMaps_30_hamida,97.35583959410674,0.9699442903063938,IndianPines,DiffMaps,30.0,hamida,Alfalfa,
IndianPines_DiffMaps_30_li,97.28754024782906,0.9691691996666508,IndianPines,DiffMaps,30.0,li,Alfalfa,
IndianPines_DiffMaps_30_paoletti,96.64357498292516,0.9618422233465518,IndianPines,DiffMaps,30.0,paoletti,Alfalfa,
IndianPines_SOM_8_mou,78.11493804273587,0.7502580390927936,IndianPines,SOM,8.0,mou,Alfalfa,
IndianPines_SOM_8_hamida,91.11132793443262,0.89869331655254,IndianPines,SOM,8.0,hamida,Alfalfa,
IndianPines_SOM_8_li,83.73499853644257,0.8142964496207955,IndianPines,SOM,8.0,li,Alfalfa,
IndianPines_SOM_8_paoletti,84.35944970240999,0.8213412546375117,IndianPines,SOM,8.0,paoletti,Alfalfa,
IndianPines_SOM_15_mou,78.99307249487755,0.7599316684063185,IndianPines,SOM,15.0,mou,Alfalfa,
IndianPines_SOM_15_hamida,95.1702605132208,0.9450052794120922,IndianPines,SOM,15.0,hamida,Alfalfa,
IndianPines_SOM_15_li,83.39350180505416,0.8107276192420584,IndianPines,SOM,15.0,li,Alfalfa,
IndianPines_SOM_15_paoletti,89.12088984291151,0.8758905541712624,IndianPines,SOM,15.0,paoletti,Alfalfa,
IndianPines_SOM_30_mou,87.72563176895306,0.8603836496068537,IndianPines,SOM,30.0,mou,Alfalfa,
IndianPines_SOM_30_hamida,97.09239925846424,0.9669427124790888,IndianPines,SOM,30.0,hamida,Alfalfa,
IndianPines_SOM_30_li,90.52590496633816,0.8921216298398892,IndianPines,SOM,30.0,li,Alfalfa,
IndianPines_SOM_30_paoletti,89.5014147721729,0.8803027869758289,IndianPines,SOM,30.0,paoletti,Alfalfa,
IndianPines_Corr_8_mou,76.02499023818821,0.7242782009130428,IndianPines,Corr,8.0,mou,Alfalfa,
IndianPines_Corr_8_hamida,81.54041390082,0.7902187421344499,IndianPines,Corr,8.0,hamida,Alfalfa,
IndianPines_Corr_8_li,74.41429129246389,0.7049177650578656,IndianPines,Corr,8.0,li,Alfalfa,
IndianPines_Corr_8_paoletti,79.12924638812964,0.7606215634739103,IndianPines,Corr,8.0,paoletti,Alfalfa,
IndianPines_Corr_15_mou,79.578289730574,0.766574223422945,IndianPines,Corr,15.0,mou,Alfalfa,
IndianPines_Corr_15_hamida,85.50370948848106,0.8345987410235914,IndianPines,Corr,15.0,hamida,Alfalfa,
IndianPines_Corr_15_li,67.07340882467786,0.6185613820055155,IndianPines,Corr,15.0,li,Alfalfa,
